segment_id,new_segment_id,from_node,to_node,distance,speed_limit,frc,street_name
-13560111507837,-00004e30-3400-0400-0000-0000008bad86,1,2,20.87,45,6,Ghata Masjid Road
-13560122139222,-00004e30-3400-0400-0000-0000008badbe,3,4,37.46,45,6,Vishnu Mandir Marg
-13560142729351,-00004e30-3400-0400-0000-0000008bae1c,5,6,5.92,45,3,Ram Nagar Gali Number 2
-13560110382195,-00004e30-3400-0400-0000-0000008bae40,7,8,61.53,45,6,Sat Bhirawan Road
-13560130359533,-00004e30-3400-0400-0000-0000008baf73,9,3,31.1,45,6,Vishnu Mandir Marg
-13560111508277,-00004e30-3400-0400-0000-0000008bb01f,10,1,41.99,45,6,Prakash Chand Jain Marg
-13560129764845,-00004e30-3400-0400-0000-0000008bb108,11,12,477.66,45,6,
-13560174048323,-00004e30-3400-0400-0000-0000008bb121,13,9,33.59,45,6,Vishnu Mandir Marg
-13560110425296,-00004e30-3400-0400-0000-0000008bb147,8,14,62.6,45,6,Sat Bhirawan Road
-13560118910836,-00004e30-3400-0400-0000-0000008bb26c,15,16,79.61,45,6,Faiz Road
-13560129220617,-00004e30-3400-0400-0000-0000008bb2ac,17,10,47.52,45,6,Prakash Chand Jain Marg
-13560141942401,-00004e30-3400-0400-0000-0000008bb2bf,18,13,34.13,45,6,Vishnu Mandir Marg
-13560111259627,-00004e30-3400-0400-0000-0000008bb2c1,19,20,75.77,45,6,Lakshmi Nagar Road
-13560123171190,-00004e30-3400-0400-0000-0000008bb38f,21,17,13.35,45,6,Prakash Chand Jain Marg
-13560122203940,-00004e30-3400-0400-0000-0000008bb3f6,14,22,57.83,45,6,Sat Bhirawan Road
-13560122719686,-00004e30-3400-0400-0000-0000008bb440,23,19,24.43,45,6,Lakshmi Nagar Road
-13560129264977,-00004e30-3400-0400-0000-0000008bb4e6,24,21,16.27,45,6,Prakash Chand Jain Marg
-13560110220998,-00004e30-3400-0400-0000-0000008bb56e,25,18,48.25,45,6,Vishnu Mandir Marg
-13560123857591,-00004e30-3400-0400-0000-0000008bb580,26,24,17.23,45,6,Prakash Chand Jain Marg
-13560181221201,-00004e30-3400-0400-0000-0000008bb6b1,27,28,8.91,45,6,
-13560110670993,-00004e30-3400-0400-0000-0000008bb6fd,22,29,53.96,45,6,Sat Bhirawan Road
-13560111260824,-00004e30-3400-0400-0000-0000008bb735,30,23,44.67,45,6,Lakshmi Nagar Road
-13560121826155,-00004e30-3400-0400-0000-0000008bb751,31,25,34.2,45,6,Vishnu Mandir Marg
-13560122224434,-00004e30-3400-0400-0000-0000008bb76f,32,26,31.39,45,6,Prakash Chand Jain Marg
-13560182616993,-00004e30-3400-0400-0000-0000008bb85f,33,30,19.33,45,6,Lakshmi Nagar Road
-13560136690022,-00004e30-3400-0400-0000-0000008bb8b1,29,34,32.33,45,6,Sat Bhirawan Road
